场次号,联赛,主队,客队,更新时间,比分,赔率
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,2026-08-28 09:47:05,0:5,750.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,2026-08-28 09:47:05,1:0,11.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,2026-08-28 09:47:05,1:1,9.50
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,2026-08-28 09:47:05,1:2,14.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,2026-08-28 09:47:05,1:3,37.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,2026-08-28 09:47:05,1:4,125.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,2026-08-28 09:47:05,1:5,500.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,2026-08-28 09:47:05,2:0,9.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,2026-08-28 09:47:05,2:1,7.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,2026-08-28 09:47:05,2:2,13.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,2026-08-28 09:47:05,2:3,33.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,2026-08-28 09:47:05,2:4,125.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,2026-08-28 09:47:05,2:5,500.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,2026-08-28 09:47:05,3:0,12.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,2026-08-28 09:47:05,3:1,10.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,2026-08-28 09:47:05,3:2,16.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,2026-08-28 09:47:05,3:3,40.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,2026-08-28 09:47:05,4:0,22.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,2026-08-28 09:47:05,4:1,19.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,2026-08-28 09:47:05,4:2,30.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,2026-08-28 09:47:05,5:0,50.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,2026-08-28 09:47:05,5:1,39.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,2026-08-28 09:47:05,5:2,65.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 09:47:05,0:0,16.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 09:47:05,0:1,12.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 09:47:05,0:2,15.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 09:47:05,0:3,29.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 09:47:05,0:4,80.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 09:47:05,0:5,250.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 09:47:05,1:0,11.50
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 09:47:05,1:1,7.25
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 09:47:05,1:2,8.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 09:47:05,1:3,18.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 09:47:05,1:4,50.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 09:47:05,1:5,175.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 09:47:05,2:0,14.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 09:47:05,2:1,7.75
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 09:47:05,2:2,11.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 09:47:05,2:3,22.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 09:47:05,2:4,60.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 09:47:05,2:5,200.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 09:47:05,3:0,27.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 09:47:05,3:1,16.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 09:47:05,3:2,21.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 09:47:05,3:3,41.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 09:47:05,4:0,70.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 09:47:05,4:1,45.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 09:47:05,4:2,55.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 09:47:05,5:0,200.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 09:47:05,5:1,125.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 09:47:05,5:2,175.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 11:36:44,0:0,16.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 11:36:44,0:1,11.50
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 11:36:44,0:2,14.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 11:36:44,0:3,27.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 11:36:44,0:4,70.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 11:36:44,0:5,200.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 11:36:44,1:0,12.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 11:36:44,1:1,7.25
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 11:36:44,1:2,7.75
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 11:36:44,1:3,16.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 11:36:44,1:4,45.00
