match_id,date,home_team_name,away_team_name,competition_name,actual_result,BaselinePlatt_away,BaselinePlatt_draw,BaselinePlatt_home,TempScaling_away,TempScaling_draw,TempScaling_home,VectorScaling_away,VectorScaling_draw,VectorScaling_home,Isotonic-OVR_away,Isotonic-OVR_draw,Isotonic-OVR_home,Temp_plus_DrawCal0.95_away,Temp_plus_DrawCal0.95_draw,Temp_plus_DrawCal0.95_home
2017-11-26_乌迪内斯_那不勒斯,2017-11-26,乌迪内斯,那不勒斯,意甲,0,0.791377510902958,0.056914248335068356,0.1517082407619736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-26_利物浦_切尔西,2017-11-26,利物浦,切尔西,英超,1,0.17158963996654153,0.2687931617856156,0.559617198247843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-26_南安普敦_埃弗顿,2017-11-26,南安普敦,埃弗顿,英超,2,0.19737955247894112,0.3294839739038594,0.4731364736171994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-26_伯恩利_阿森纳,2017-11-26,伯恩利,阿森纳,英超,0,0.6843833266449423,0.11185110739549056,0.20376556595956702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-26_拉科鲁尼亚_毕尔巴鄂竞技,2017-11-26,拉科鲁尼亚,毕尔巴鄂竞技,西甲,1,0.5351840890560132,0.22666243468646874,0.23815347625751807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-27_马赛_甘冈,2017-11-27,马赛,甘冈,法甲,2,0.06817568843003738,0.08491489501332779,0.8469094165566349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-27_摩纳哥_巴黎圣日尔曼,2017-11-27,摩纳哥,巴黎圣日尔曼,法甲,0,0.655495525341373,0.09886987433135484,0.24563460032727222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-27_比利亚雷亚尔_塞维利亚,2017-11-27,比利亚雷亚尔,塞维利亚,西甲,0,0.19016499639610726,0.37173235655881043,0.43810264704508234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-27_科隆_柏林赫塔,2017-11-27,科隆,柏林赫塔,德甲,0,0.3534492733465663,0.4179739314353844,0.2285767952180493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-27_拉齐奥_佛罗伦萨,2017-11-27,拉齐奥,佛罗伦萨,意甲,1,0.08055421997859956,0.28331013058637405,0.6361356494350264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-27_尤文图斯_克罗托内,2017-11-27,尤文图斯,克罗托内,意甲,2,0.06099491289947715,0.0788291603060894,0.8601759267944334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-27_哈德斯菲尔德_曼彻斯特城,2017-11-27,哈德斯菲尔德,曼彻斯特城,英超,0,0.6236000480748183,0.09996902556132162,0.2764309263638601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-27_巴伦西亚_巴塞罗那,2017-11-27,巴伦西亚,巴塞罗那,西甲,1,0.7281634415731411,0.07634775144245695,0.19548880698440194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-28_亚特兰大_贝内文托,2017-11-28,亚特兰大,贝内文托,意甲,2,0.07264373668785924,0.16303790296847787,0.7643183603436629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-28_西班牙人_赫塔费,2017-11-28,西班牙人,赫塔费,西甲,2,0.15039525775074547,0.4253761726052429,0.4242285696440117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-29_斯特拉斯堡_卡昂,2017-11-29,斯特拉斯堡,卡昂,法甲,1,0.2559880199546483,0.22246852544279366,0.521543454602558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-29_亚眠_第戎,2017-11-29,亚眠,第戎,法甲,2,0.21780073771347533,0.32742791655111014,0.4547713457354145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-29_波尔多_圣埃蒂安,2017-11-29,波尔多,圣埃蒂安,法甲,2,0.11064751021255852,0.33302626255727324,0.5563262272301683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
