match_id,date,home_team_name,away_team_name,competition_name,actual_result,BaselinePlatt_away,BaselinePlatt_draw,BaselinePlatt_home,TempScalingon raw_away,TempScalingon raw_draw,TempScalingon raw_home,Mono-Pooledon raw_away,Mono-Pooledon raw_draw,Mono-Pooledon raw_home,Mono-OVRon raw_away,Mono-OVRon raw_draw,Mono-OVRon raw_home,Mono-Pooledon Temp_away,Mono-Pooledon Temp_draw,Mono-Pooledon Temp_home
2018-12-23_摩纳哥_甘冈,2018-12-23,摩纳哥,甘冈,法甲,0,0.12822800478815596,0.24235625164881625,0.6294157435630279,0.2050399314928687,0.3461991967037698,0.4487608718033615,0.23789735501886405,0.3258442327730069,0.43625841220812905,0.21704129841914033,0.28988714107590235,0.4930715605049573,0.23645566678628924,0.32643956361032483,0.437104769603386
2018-12-23_圣埃蒂安_第戎,2018-12-23,圣埃蒂安,第戎,法甲,2,0.10158123591887117,0.15172603593328685,0.7466927281478419,0.16950776719472543,0.2855662089704435,0.5449260238348311,0.20124963959914416,0.2428041443578476,0.5559462160430082,0.1639741612448556,0.22160501103177388,0.6144208277233706,0.2008869759798624,0.2420300486787212,0.5570829753414164
2018-12-23_雷恩_尼姆,2018-12-23,雷恩,尼姆,法甲,2,0.10311622863214755,0.234842281597856,0.6620414897699965,0.1721720885308401,0.34524808896278525,0.4825798225063747,0.22540598244731364,0.30873499794550796,0.46585901960717824,0.1826867263856423,0.2842978836891893,0.5330153899251683,0.22445313681850626,0.3098694356952086,0.46567742748628504
2018-12-23_蒙彼利埃_里昂,2018-12-23,蒙彼利埃,里昂,法甲,1,0.42508072697275107,0.3069159585079234,0.2680033145193255,0.4223485352950597,0.3750198239937431,0.2026316407111972,0.37553896206879145,0.37035061368817546,0.25411042424303315,0.3666561712846348,0.30982367758186397,0.32352015113350124,0.3761710083569356,0.3707282290816275,0.25310076256143693
2018-12-23_巴黎圣日尔曼_南特,2018-12-23,巴黎圣日尔曼,南特,法甲,2,0.06267894552362104,0.10126096877189447,0.8360600857044844,0.09907007005310982,0.23850515463775032,0.6624247753091399,0.06897033713654566,0.23344396725382127,0.6975856956096331,0.06157118263299699,0.16484216377293814,0.7735866535940648,0.06895157184058487,0.2324845192985964,0.6985639088608186
2018-12-23_昂热_马赛,2018-12-23,昂热,马赛,法甲,1,0.5753445511154293,0.1934389240955273,0.23121652478904337,0.5143104350611052,0.3097163119231692,0.17597325301572556,0.47883679690845504,0.2894779204279482,0.23168528266359667,0.46578480215312373,0.26805245375937703,0.2661627440874993,0.4777832174988155,0.29192874284737036,0.23028803965381414
2018-12-23_兰斯_卡昂,2018-12-23,兰斯,卡昂,法甲,1,0.16543167683370932,0.17741946909295958,0.657148854073331,0.24340035514887717,0.3011121360909012,0.4554875087602216,0.24613714530736072,0.2969601291215981,0.45690272557104117,0.2197424291505065,0.25488132655115964,0.525376244298334,0.24670788553815792,0.2972354044107386,0.45605671005110343
2018-12-23_法兰克福_拜仁慕尼黑,2018-12-23,法兰克福,拜仁慕尼黑,德甲,0,0.7504096543759864,0.06378638534828894,0.18580396027572466,0.6684050562036827,0.18538177879097106,0.1462131650053462,0.6527960224896092,0.2184553012720703,0.12874867623832048,0.6196252889722331,0.18705280917055456,0.19332190185721235,0.6516356591001612,0.21686663316284893,0.1314977077369898
2018-12-23_斯特拉斯堡_尼斯,2018-12-23,斯特拉斯堡,尼斯,法甲,2,0.2950353351895726,0.3057751890664764,0.3991894757439511,0.34286748917218846,0.37013351071759204,0.2869990001102195,0.3395681358802875,0.3613242357165308,0.29910762840318167,0.3381290261505381,0.29008344189946406,0.371787531949998,0.34086837870066516,0.36165615098014914,0.2974754703191858
2018-12-23_巴塞罗那_维戈塞尔塔,2018-12-23,巴塞罗那,维戈塞尔塔,西甲,2,0.06583612006284426,0.0905405702010035,0.8436233097361523,0.10595379228021536,0.22420612292335607,0.6698400847964286,0.06897033713654566,0.23344396725382127,0.6975856956096331,0.06157118263299699,0.16484216377293814,0.7735866535940648,0.07149554633956819,0.23184928414796815,0.6966551695124636
